unit,duration,input.b1,input.b2,input.e1,input.e2,input.sent_id,input.sentence,input.term1,input.term2,job,output.top_member_employee,output.top_member_employee.annotations,output.top_member_employee.unique_annotations,worker,uqs,unit_annotation_score,uqs_initial,unit_annotation_score_initial
897534786,140.8,6,3,8,4,UAD-A-1535,"On Wednesday , Lyon led through Karim Benzema 's 26th goal of the season in the 55th minute , but Carlos Tevez leveled in the 87th .",Karim Benzema,Lyon,../data/relex-binary-choice,"Counter({'false': 13, 'true': 2})",15,2,15,0.838395921467,"Counter({'false': 0.917969296194994, 'true': 0.08203070380500596})",0.752380952381,"Counter({'false': 0.8666666666666667, 'true': 0.13333333333333333})"
897534787,48.5333333333,23,30,25,32,UAD-A-2322,"`` We have all this library content , and we 've been surprised at how much interest there is in it , `` Jeff Zucker , the chief executive of NBC Universal , said recently .",Jeff Zucker,NBC Universal,../data/relex-binary-choice,"Counter({'true': 15, 'false': 0})",15,1,15,1.0,"Counter({'true': 1.0, 'false': 0.0})",1.0,"Counter({'true': 1.0, 'false': 0.0})"
897534788,190.933333333,0,14,2,17,UAD-A-0024,"Addie Wagenknecht ( born Portland , Oregon ) is an American artist living in New York City .",Addie Wagenknecht,New York City,../data/relex-binary-choice,"Counter({'false': 15, 'true': 0})",15,1,15,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})"
897534789,51.8,2,0,4,1,UAD-A-2211,"Toyota President Katsuaki Watanabe said Thursday that Toyota will speed up delivery of its plug-in hybrid from 2010 to the end of 2009 , while the Volt is due in showrooms in late 2010 .",Katsuaki Watanabe,Toyota,../data/relex-binary-choice,"Counter({'true': 13, 'false': 2})",15,2,15,0.95706901474,"Counter({'true': 0.979734541799039, 'false': 0.02026545820096097})",0.752380952381,"Counter({'true': 0.8666666666666667, 'false': 0.13333333333333333})"
897534790,128.6,0,23,2,26,UAD-A-0115,"Andrea Bargnani , nicknamed `` Il Mago '' ( translated to `` The Magician '' ) , ( born October 26 1985 in Rome , Italy ) is an Italian professional basketball player with the Toronto Raptors of the National Basketball Association .",Andrea Bargnani,"Rome , Italy",../data/relex-binary-choice,"Counter({'false': 15, 'true': 0})",15,1,15,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})"
897534791,84.0,21,10,23,13,UAD-A-0543,"David Martin Blake ( born January 18 , 1970 in Compton , California ) , better known by his stage name DJ Quik , is a rapper and record producer from Compton , California .",DJ Quik,"Compton , California",../data/relex-binary-choice,"Counter({'false': 15, 'true': 0})",15,1,15,1.0,"Counter({'false': 1.0, 'true': 0.0})",1.0,"Counter({'false': 1.0, 'true': 0.0})"
897534792,49.2666666667,0,4,3,6,UAD-A-0454,"Charles B. Rangel of New York , chairman of the House Ways and Means Committee , the bill would also overhaul corporate taxes by eliminating many major tax breaks and lowering overall tax rates .",Charles B. Rangel,New York,../data/relex-binary-choice,"Counter({'false': 14, 'true': 1})",15,2,15,1.0,"Counter({'false': 1.0, 'true': 0.0})",0.866666666667,"Counter({'false': 0.9333333333333333, 'true': 0.06666666666666667})"
897534793,73.2,8,16,11,17,UAD-A-0196,"A teary Florida judge said Friday he wanted Anna Nicole Smith to be buried in the Bahamas , ending two weeks of bizarre wranglings over the remains of the former Playboy model and billionaire 's widow .",Anna Nicole Smith,Bahamas,../data/relex-binary-choice,"Counter({'false': 14, 'true': 1})",15,2,15,1.0,"Counter({'false': 1.0, 'true': 0.0})",0.866666666667,"Counter({'false': 0.9333333333333333, 'true': 0.06666666666666667})"
897534794,75.2666666667,1,34,3,35,UAD-A-0951,"If Barack Obama wins the White House in November , we may well look back on this week as the turning point when he started to ease lingering doubts about his readiness to lead America .",Barack Obama,America,../data/relex-binary-choice,"Counter({'true': 8, 'false': 7})",15,2,15,0.475610130877,"Counter({'true': 0.5768584318701289, 'false': 0.42314156812987114})",0.466666666667,"Counter({'true': 0.5333333333333333, 'false': 0.4666666666666667})"
897534795,45.4,0,11,2,15,UAD-A-1875,"Steven Chu , a Nobel Laureate in physics who heads the Lawrence Berkeley National Laboratory , and Dan Reicher , a former assistant energy secretary in the Clinton administration who now directs the Google.org foundation 's energy and climate change initiatives .",Steven Chu,Lawrence Berkeley National Laboratory,../data/relex-binary-choice,"Counter({'true': 13, 'false': 2})",15,2,15,0.952315105766,"Counter({'true': 0.9774366183305948, 'false': 0.0225633816694051})",0.752380952381,"Counter({'true': 0.8666666666666667, 'false': 0.13333333333333333})"
