worker,competence
A2HTGQE4AACVRV,0.9422128633893267
AYHHOK9GDSWNH,0.9287597990542534
A1QRQZWBL1SVEX,0.9422128633893267
A3G0MGLBT484I1,0.0006669816621639987
A7NC1H5ZK7TO0,0.9422128633893267
A3MPXWFMR0Y2LK,0.9054656560138375
A11GX90QFWDLMM,0.0016343498048797555
A3PIXX8DQGYHGI,0.0007262613141985392
A2KONK3TIL5KVX,0.0020043474623211385
A18941IO2ZZWW6,0.05601111919006349
A5C6BAAHFTJFP,0.8947635584844109
A18WNE09USHJSG,0.8835686712120338
A3J0VZOPOGW1QC,0.92579596772172
AUPV5WJK85K4F,0.8354420813343054
A1PBRFFOTO5ZU6,0.5942272499703642
AXTU992Z7V3ZX,0.9317187553796702
A26KXB5XCGERD2,0.7735857852183209
A370556EFVZ9W4,0.7652079307179244
AEX5NCH03LWSG,0.9075030159924901
A2G80S3EM9SDBD,0.9442909864549448
A38UUFVXEND88G,0.7294744145202884
A1EPIK54UEQYQB,0.9036726564515092
A2VKPMR5HCCZF5,0.9269306623117476
A1GR4JB3DODIQ1,0.9650185186666024
AEU1NROWHLIJF,0.4999371984469024
A1UV8TD7KO88IM,0.9879750309444376
A26J29AVWFIMNY,0.7658515078556721
AZE6KLDFEXBM0,0.7910969991350698
A3BD4NONKGONRM,0.8955467162086959
A2BEQQH909NJRN,0.6166726188970204
AA5CLQLMVT5GA,0.6589730613785806
A9K43JFO379YG,0.8806138951222766
A2GLG8R57PVEQU,0.9838161769697732
A16QMNGIR7N53M,0.4880463057584336
AF9RXZRI2WUNQ,0.4880459902804257
A1IYVTS4ZVIGSE,0.9422240126011346
A1VG58HXS2O3JX,0.02425776220055266
A1YG3DEOOKQYTA,0.4960539970266538
A2O6FTKXAJGRSQ,0.8897794577837772
AEPI85FMNTIA8,0.8298294016295922
AK7YVYGMIF6T0,0.7271446029350374
A1123L7ANYUTG0,0.970281601587563
AWXSX0YWT2J50,0.8003624941325318
A2MIF2GUSZLJ0X,0.2779888440921644
A33QAD7EN7F6XX,0.9702819015956724
A37Q72KDR2VIZ8,0.7569445242528774
A32IZC32FQKVRX,0.9241283036187528
A2VH5LBZ5S5IBL,0.4119048071402508
A2B6ZPXXMJB1B1,0.9421942246964944
A3FLN53WRJ0C7W,0.9128926963521516
A3K7B6ZPJH2EVC,0.7625501135668841
A3KKCYI5HAHQ3,0.7718291786092261
A2GKEUW6PGONEC,0.9352630887159878
A1KFIQBETMB81I,0.9388464864112104
A1AML5YZXW4FIS,0.9421680069314979
AM7BYJ804O5TF,0.8738336746935814
A282GBBIPRRVIB,0.9421940248694168
A13PCLSK1JA8QL,0.03209801744074072
A7R1L4ZYYPOZM,0.7666775224030519
A23NXGIV5YVQHJ,0.9421942259092986
ATJQTHNPVWH9,0.7607011544513521
A2Q547UYDL9SFU,0.8749396034674204
A1ZMDED6CWMABK,0.9334673947230638
AV05VG3COGLW0,0.7766485460298138
A2DV8HITPQN4AJ,0.2072622652989162
A3OHQRF1MDQ99B,0.7637898087574925
A3JWUNYRV5KTUS,0.9422262406896552
AZ37E749R4SUA,0.9422262406896552
A2DTM58I82M96Y,0.3894915758747558
A17743NDSCO8P5,0.3657212150823284
A1RIILHVSAY5IW,0.7669498708777065
A2OZTBCBOCHF9E,0.0312937905934396
A20BKXSNZS2O3J,0.7321276265038822
A1ER3JLKRM3046,0.5647586134953013
A1DE9XQJ5FSGIB,0.5776551692030749
A3G3JWL19SBHCH,0.7668053646765115
