,output.selected_answer,aqs,aqs_initial
archeologist,1000,1e-08,1e-08
architect,1000,1e-08,1e-08
artist,1000,0.2512851218961939,0.2520942408376964
astronaut,1000,0.9999680492226728,0.9523809523809523
athlete,1000,0.2801649773096277,0.2788104089219331
businessperson,1000,0.06188726908753386,0.09618163054695561
celebrity,1000,0.7459196879955364,0.6066315558481457
chef,1000,1e-08,1e-08
criminal,1000,0.12723840573052922,0.15306122448979592
engineer,1000,0.036086836577669285,0.029914529914529916
farmer,1000,0.0013543982464316537,0.02631578947368421
fictionalcharacter,1000,0.3061545340475326,0.30235457063711935
journalist,1000,0.07588007160469219,0.07522644927536232
judge,1000,1e-08,1e-08
lawyer,1000,1e-08,1e-08
militaryperson,1000,0.8461288182796715,0.6695402298850575
model,1000,0.4571709228250726,0.3812154696132596
monarch,1000,0.31936234307772043,0.3198757763975155
none,1000,0.857716020329372,0.634973554220735
other,1000,0.4495046609996766,0.35614836519519577
philosopher,1000,0.00040181457411572004,0.008620689655172414
politician,1000,0.05617034666730035,0.052410901467505246
presenter,1000,0.42955579353065915,0.3083160800552106
producer,1000,0.0006617932876057423,0.009216589861751152
psychologist,1000,1e-08,1e-08
scientist,1000,0.40745494918802566,0.3220470470470471
sportsmanager,1000,1e-08,1e-08
writer,1000,0.05708570799473144,0.08579335793357933
